"nome","sigla","siglaSuperior"
"ACRE","AC","BR"
"ALAGOAS","AL","BR"
"AMAPÁ","AP","BR"
"AMAZONAS","AM","BR"
"BAHIA","BA","BR"
"CEARÁ","CE","BR"
"DISTRITO FEDERAL","DF","BR"
"ESPÍRITO SANTO","ES","BR"
"GOIÁS","GO","BR"
"MARANHÃO","MA","BR"
"MATO GROSSO","MT","BR"
"MATO GROSSO DO SUL","MS","BR"
"MINAS GERAIS","MG","BR"
"PARÁ","PA","BR"
"PARAÍBA","PB","BR"
"PARANÁ","PR","BR"
"PERNAMBUCO","PE","BR"
"PIAUÍ","PI","BR"
"RIO DE JANEIRO","RJ","BR"
"RIO GRANDE DO NORTE","RN","BR"
"RIO GRANDE DO SUL","RS","BR"
"RONDÔNIA","RO","BR"
"RORAIMA","RR","BR"
"SANTA CATARINA","SC","BR"
"SÃO PAULO","SP","BR"
"SERGIPE","SE","BR"
"TOCANTINS","TO","BR"
